v2_rank,source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,candidate_pool_source,v1_skill_similarity_rank,skill_similarity,transferable_skill_coverage,target_skill_gap,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,source_related_work_experience,target_related_work_experience,target_on_the_job_training,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,apprenticeship_importance,shared_top_skills,missing_skills,feasibility_flag,feasibility_level,feasibility_notes,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations,market_validation,mobility_value_signal,hidden_path_candidate
21,29-1141.00,Registered Nurses,29-1229.02,Hospitalists,onet_related_occupation; skill_similarity_top20,16,0.990779,0.925548,0.283278,yes,Supplemental,20,4,5,1,Bachelor's Degree,Post-Doctoral Training,96.0,96.0,high,weighted education category +6.1; master's-or-higher share 96.0%; doctoral/professional/postdoctoral share 96.0%; doctoral/professional occupation pattern,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 month, up to and including 3 months",low,no major upward training/experience signal,high,4.0,3.68,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.62, RN 3.02); Education and Training (knowledge: target 4.00, RN 3.20)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
22,29-1141.00,Registered Nurses,29-1123.00,Physical Therapists,focus_check; skill_similarity_top20,17,0.990443,0.946822,0.198864,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,85.43,47.13,high,weighted education category +3.9; master's-or-higher share 85.4%; doctoral/professional/postdoctoral share 47.1%; doctoral/professional occupation pattern; professional certification importance 4.27,"Over 1 year, up to and including 2 years",None,"Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,medium,4.27,3.73,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.11); Service Orientation (transferable_skill: 4.00); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00),,exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,yes,no,Same / very close,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,0,0,,,monthly_only_no_matched_monthly_salary,,,,Unknown,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
23,29-1141.00,Registered Nurses,19-3039.02,Neuropsychologists,skill_similarity_top20,18,0.990046,0.914329,0.327394,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.7; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.56,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,low,no major upward training/experience signal,high,4.56,3.68,Psychology (knowledge: 4.58); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88); Judgment and Decision Making (transferable_skill: 3.88),"Therapy and Counseling (knowledge: target 4.56, RN 3.43); Education and Training (knowledge: target 4.12, RN 3.20)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",no,no,no,Distant category,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,0,0,,,monthly_only_no_matched_monthly_salary,,,,Unknown,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
24,29-1141.00,Registered Nurses,29-1217.00,Neurologists,focus_check; skill_similarity_top20,19,0.989885,0.915378,0.322458,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,97.61,92.84,high,weighted education category +6.1; master's-or-higher share 97.6%; doctoral/professional/postdoctoral share 92.8%; doctoral/professional occupation pattern,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years",None or short demonstration,medium,related work experience +2.2 categories,high,,,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.14); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Computers and Electronics (knowledge: target 3.73, RN 2.59); Biology (knowledge: target 4.08, RN 3.02); Chemistry (knowledge: target 3.61, RN 2.60); Science (essential_skill: target 3.75, RN 2.88)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
25,29-1141.00,Registered Nurses,29-1218.00,Obstetricians and Gynecologists,onet_related_occupation,,0.989742,0.92238,0.298463,yes,Supplemental,17,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.96,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +2.8 categories; apprenticeship importance 4.52,high,4.96,4.52,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.22); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88); Judgment and Decision Making (transferable_skill: 3.88),"Biology (knowledge: target 4.72, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
26,29-1141.00,Registered Nurses,29-1216.00,General Internal Medicine Physicians,focus_check; onet_related_occupation,,0.989742,0.911353,0.335741,yes,Supplemental,18,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.4; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.69,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +1.2 categories; apprenticeship importance 4.31,high,4.69,4.31,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.34); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.91),"Biology (knowledge: target 4.53, RN 3.02); Computers and Electronics (knowledge: target 3.91, RN 2.59)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
27,29-1141.00,Registered Nurses,29-1299.01,Naturopathic Physicians,focus_check,,0.989172,0.920157,0.304878,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,100.0,high,weighted education category +5.9; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.48,"Over 1 year, up to and including 2 years",None,None or short demonstration,low,no major upward training/experience signal,high,4.48,2.84,Psychology (knowledge: 4.58); Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.76, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
28,29-1141.00,Registered Nurses,29-1215.00,Family Medicine Physicians,focus_check; onet_related_occupation,,0.98803,0.906522,0.361616,yes,Supplemental,13,4,5,1,Bachelor's Degree,Doctoral Degree,97.43,87.95,high,weighted education category +5.7; master's-or-higher share 97.4%; doctoral/professional/postdoctoral share 88.0%; doctoral/professional occupation pattern; professional certification importance 4.98,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 month, up to and including 3 months",medium,apprenticeship importance 4.25,high,4.98,4.25,Psychology (knowledge: 4.49); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Service Orientation (transferable_skill: 3.88),"Biology (knowledge: target 4.46, RN 3.02); Therapy and Counseling (knowledge: target 4.56, RN 3.43); Science (essential_skill: target 3.88, RN 2.88); Time Management (transferable_skill: target 4.00, RN 3.12)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
29,29-1141.00,Registered Nurses,29-1229.05,Preventive Medicine Physicians,focus_check,,0.985361,0.879491,0.461111,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.95,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,low,apprenticeship importance 4.05,high,4.95,4.05,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Coordination (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Law and Government (knowledge: target 3.83, RN 2.40); Biology (knowledge: target 4.42, RN 3.02); Management of Personnel Resources (transferable_skill: target 3.75, RN 2.62)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
30,29-1141.00,Registered Nurses,29-1222.00,"Physicians, Pathologists",focus_check,,0.979401,0.926608,0.26875,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,94.0,high,weighted education category +6.3; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 94.0%; doctoral/professional occupation pattern; professional certification importance 4.96,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Over 1 month, up to and including 3 months",low,related work experience +1.2 categories,high,4.96,3.59,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Reading Comprehension (essential_skill: 3.88); Speaking (essential_skill: 3.88); Writing (essential_skill: 3.75),"Biology (knowledge: target 4.51, RN 3.02); Science (essential_skill: target 4.00, RN 2.88)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,no,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
31,29-1141.00,Registered Nurses,29-1211.00,Anesthesiologists,onet_related_occupation,,0.968343,0.842018,0.615561,yes,Supplemental,15,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,98.74,high,weighted education category +6.5; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 98.7%; doctoral/professional occupation pattern; professional certification importance 4.99,"Over 1 year, up to and including 2 years",Over 10 years,"Over 4 years, up to and including 10 years",high,related work experience +3.3 categories; on-the-job training +2.1 categories; apprenticeship importance 4.42,high,4.99,4.42,Psychology (knowledge: 4.58); Customer and Personal Service (knowledge: 4.40); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Physics (knowledge: target 4.32, RN 1.60); Engineering and Technology (knowledge: target 3.88, RN 1.51); Mechanical (knowledge: target 3.55, RN 1.35)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening.",yes,no,yes,Adjacent category,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1,Weak,upward_or_credentialed_bridge:unknown_salary; job_zone_diff 1,no
